cluster_name,career_title,keyskill_name,weight_percentage
"Agriculture, Food & Natural Resources",Greenhouse Technician,Climate Control,20
"Agriculture, Food & Natural Resources",Greenhouse Technician,Technical Skills,20
"Agriculture, Food & Natural Resources",Greenhouse Technician,Problem Solving,15
"Agriculture, Food & Natural Resources",Greenhouse Technician,Attention to Detail,10
"Agriculture, Food & Natural Resources",Irrigation Specialist,Irrigation System Design,30
"Agriculture, Food & Natural Resources",Irrigation Specialist,Water Management,25
"Agriculture, Food & Natural Resources",Irrigation Specialist,Technical Skills,20
"Agriculture, Food & Natural Resources",Irrigation Specialist,Planning,15
"Agriculture, Food & Natural Resources",Irrigation Specialist,Troubleshooting,10
"Agriculture, Food & Natural Resources",Environmental Engineer (Agri),Environmental Engineering,30
"Agriculture, Food & Natural Resources",Environmental Engineer (Agri),Data Analysis,25
"Agriculture, Food & Natural Resources",Environmental Engineer (Agri),Problem Solving,20
"Agriculture, Food & Natural Resources",Environmental Engineer (Agri),Compliance,15
"Agriculture, Food & Natural Resources",Environmental Engineer (Agri),Project Management,10
"Agriculture, Food & Natural Resources",Food Technologist,Food Processing,30
"Agriculture, Food & Natural Resources",Food Technologist,Quality Assurance,25
"Agriculture, Food & Natural Resources",Food Technologist,Research Skills,20
"Agriculture, Food & Natural Resources",Food Technologist,Laboratory Techniques,15
"Agriculture, Food & Natural Resources",Food Technologist,Attention to Detail,10
"Agriculture, Food & Natural Resources",Food Safety Inspector,Food Safety,30
"Agriculture, Food & Natural Resources",Food Safety Inspector,Inspection,25
"Agriculture, Food & Natural Resources",Food Safety Inspector,Regulatory Compliance,20
"Agriculture, Food & Natural Resources",Food Safety Inspector,Attention to Detail,15
"Agriculture, Food & Natural Resources",Food Safety Inspector,Reporting,10
"Agriculture, Food & Natural Resources",Nutritionist (Food Industry),Nutrition Science,30
"Agriculture, Food & Natural Resources",Nutritionist (Food Industry),Communication,25
"Agriculture, Food & Natural Resources",Nutritionist (Food Industry),Analytical Skills,20
"Agriculture, Food & Natural Resources",Nutritionist (Food Industry),Research,15
"Agriculture, Food & Natural Resources",Nutritionist (Food Industry),Client Counseling,10
"Agriculture, Food & Natural Resources",Organic Farm Specialist,Organic Farming,30
"Agriculture, Food & Natural Resources",Organic Farm Specialist,Sustainability,25
"Agriculture, Food & Natural Resources",Organic Farm Specialist,Resource Planning,20
"Agriculture, Food & Natural Resources",Organic Farm Specialist,Quality Assurance,15
"Agriculture, Food & Natural Resources",Organic Farm Specialist,Innovation,10
"Agriculture, Food & Natural Resources",Forestry Technician,Forest Management,30
"Agriculture, Food & Natural Resources",Forestry Technician,Data Collection,25
"Agriculture, Food & Natural Resources",Forestry Technician,Equipment Handling,20
"Agriculture, Food & Natural Resources",Forestry Technician,Observation,15
"Agriculture, Food & Natural Resources",Forestry Technician,Safety Awareness,10
"Agriculture, Food & Natural Resources",Pest Control Specialist,Pest Identification,30
"Agriculture, Food & Natural Resources",Pest Control Specialist,Chemical Application,25
"Agriculture, Food & Natural Resources",Pest Control Specialist,Problem Solving,20
"Agriculture, Food & Natural Resources",Pest Control Specialist,Safety,15
"Agriculture, Food & Natural Resources",Pest Control Specialist,Record Keeping,10
"Agriculture, Food & Natural Resources",Seed Technologist,Seed Testing,30
"Agriculture, Food & Natural Resources",Seed Technologist,Quality Control,25
"Agriculture, Food & Natural Resources",Seed Technologist,Laboratory Skills,20
"Agriculture, Food & Natural Resources",Seed Technologist,Research,15
"Agriculture, Food & Natural Resources",Seed Technologist,Data Analysis,10
"Agriculture, Food & Natural Resources",Florist,Flower Arrangement,30
"Agriculture, Food & Natural Resources",Florist,Creativity,25
"Agriculture, Food & Natural Resources",Florist,Customer Service,20
"Agriculture, Food & Natural Resources",Florist,Plant Care,15
"Agriculture, Food & Natural Resources",Florist,Aesthetic Sense,10
"Agriculture, Food & Natural Resources",Landscape Designer (Agri),Landscape Planning,30
"Agriculture, Food & Natural Resources",Landscape Designer (Agri),CAD Skills,25
"Agriculture, Food & Natural Resources",Landscape Designer (Agri),Creativity,20
"Agriculture, Food & Natural Resources",Landscape Designer (Agri),Plant Knowledge,15
"Agriculture, Food & Natural Resources",Landscape Designer (Agri),Project Management,10
"Agriculture, Food & Natural Resources",Sericulture Expert,Sericulture Techniques,30
"Agriculture, Food & Natural Resources",Sericulture Expert,Research,25
"Agriculture, Food & Natural Resources",Sericulture Expert,Quality Control,20
"Agriculture, Food & Natural Resources",Sericulture Expert,Resource Management,15
"Agriculture, Food & Natural Resources",Sericulture Expert,Training,10
"Agriculture, Food & Natural Resources",Apiculturist,Bee Management,30
"Agriculture, Food & Natural Resources",Apiculturist,Honey Extraction,25
"Agriculture, Food & Natural Resources",Apiculturist,Environmental Awareness,20
"Agriculture, Food & Natural Resources",Apiculturist,Observation,15
"Agriculture, Food & Natural Resources",Apiculturist,Problem Solving,10
"Agriculture, Food & Natural Resources",Agricultural Extension Officer,Communication,30
"Agriculture, Food & Natural Resources",Agricultural Extension Officer,Community Outreach,25
"Agriculture, Food & Natural Resources",Agricultural Extension Officer,Training,20
"Agriculture, Food & Natural Resources",Agricultural Extension Officer,Technical Knowledge,15
"Agriculture, Food & Natural Resources",Agricultural Extension Officer,Problem Solving,10
"Agriculture, Food & Natural Resources",Agriculture Policy Analyst,Policy Analysis,30
"Agriculture, Food & Natural Resources",Agriculture Policy Analyst,Research,25
"Agriculture, Food & Natural Resources",Agriculture Policy Analyst,Data Interpretation,20
"Agriculture, Food & Natural Resources",Agriculture Policy Analyst,Communication,15
"Agriculture, Food & Natural Resources",Agriculture Policy Analyst,Report Writing,10
Architecture & Construction,Architect,Architectural Design,30
Architecture & Construction,Architect,CAD Skills,25
Architecture & Construction,Architect,Creativity,20
Architecture & Construction,Architect,Project Management,15
Architecture & Construction,Architect,Communication,10
Architecture & Construction,Civil Engineer,Structural Analysis,30
Architecture & Construction,Civil Engineer,Project Management,25
Architecture & Construction,Civil Engineer,Technical Skills,20
Architecture & Construction,Civil Engineer,Site Supervision,15
Architecture & Construction,Civil Engineer,Safety Awareness,10
Architecture & Construction,Surveyor,Land Surveying,30
Architecture & Construction,Surveyor,Data Analysis,25
Architecture & Construction,Surveyor,Technical Skills,20
Architecture & Construction,Surveyor,Compliance,15
Architecture & Construction,Surveyor,Communication,10
Architecture & Construction,Quantity Surveyor,Cost Estimation,30
Architecture & Construction,Quantity Surveyor,Contract Management,25
Architecture & Construction,Quantity Surveyor,Data Analysis,20
Architecture & Construction,Quantity Surveyor,Negotiation Skills,15
Architecture & Construction,Quantity Surveyor,Reporting,10
Architecture & Construction,Building Inspector,Inspection,30
Architecture & Construction,Building Inspector,Regulatory Compliance,25
Architecture & Construction,Building Inspector,Attention to Detail,20
Architecture & Construction,Building Inspector,Reporting,15
Architecture & Construction,Building Inspector,Communication,10
Architecture & Construction,Construction Manager,Project Management,30
Architecture & Construction,Construction Manager,Leadership,25
Architecture & Construction,Construction Manager,Resource Allocation,20
Architecture & Construction,Construction Manager,Scheduling,15
Architecture & Construction,Construction Manager,Safety Awareness,10
Architecture & Construction,Site Engineer,Site Supervision,30
Architecture & Construction,Site Engineer,Technical Skills,25
Architecture & Construction,Site Engineer,Problem Solving,20
Architecture & Construction,Site Engineer,Planning,15
Architecture & Construction,Site Engineer,Communication,10
Architecture & Construction,Urban Planner,Urban Planning,30
Architecture & Construction,Urban Planner,Data Analysis,25
Architecture & Construction,Urban Planner,Project Management,20
Architecture & Construction,Urban Planner,Regulatory Knowledge,15
Architecture & Construction,Urban Planner,Communication,10
Architecture & Construction,Structural Drafter,CAD Skills,30
Architecture & Construction,Structural Drafter,Structural Drawing,25
Architecture & Construction,Structural Drafter,Technical Detailing,20
Architecture & Construction,Structural Drafter,Measurement Skills,15
Architecture & Construction,Structural Drafter,Documentation,10
Architecture & Construction,Interior Designer,Interior Design,30
Architecture & Construction,Interior Designer,Creativity,25
Architecture & Construction,Interior Designer,Client Consultation,20
Architecture & Construction,Interior Designer,Project Coordination,15
Architecture & Construction,Interior Designer,Attention to Detail,10
Architecture & Construction,Landscape Architect,Landscape Design,30
Architecture & Construction,Landscape Architect,Plant Knowledge,25
Architecture & Construction,Landscape Architect,Creativity,20
Architecture & Construction,Landscape Architect,CAD Skills,15
Architecture & Construction,Landscape Architect,Project Management,10
Architecture & Construction,Mason,Masonry Skills,30
Architecture & Construction,Mason,Measurement,25
Architecture & Construction,Mason,Blueprint Reading,20
Architecture & Construction,Mason,Safety Awareness,15
Architecture & Construction,Mason,Teamwork,10
Architecture & Construction,Carpenter,Carpentry Skills,30
Architecture & Construction,Carpenter,Precision Cutting,25
Architecture & Construction,Carpenter,Blueprint Reading,20
Architecture & Construction,Carpenter,Problem Solving,15
Architecture & Construction,Carpenter,Safety Awareness,10
Architecture & Construction,Electrician,Electrical Wiring,30
Architecture & Construction,Electrician,Troubleshooting,25
Architecture & Construction,Electrician,Safety Practices,20
Architecture & Construction,Electrician,Technical Skills,15
Architecture & Construction,Electrician,Planning,10
Architecture & Construction,Plumber,Plumbing Skills,30
Architecture & Construction,Plumber,Pipe Fitting,25
Architecture & Construction,Plumber,Problem Solving,20
Architecture & Construction,Plumber,Safety Practices,15
Architecture & Construction,Plumber,Blueprint Reading,10
Architecture & Construction,HVAC Technician,HVAC Installation,30
Architecture & Construction,HVAC Technician,Troubleshooting,25
Architecture & Construction,HVAC Technician,Technical Skills,20
Architecture & Construction,HVAC Technician,Safety Practices,15
Architecture & Construction,HVAC Technician,Customer Service,10
Architecture & Construction,Welder,Welding Techniques,30
Architecture & Construction,Welder,Blueprint Reading,25
Architecture & Construction,Welder,Safety Awareness,20
Architecture & Construction,Welder,Equipment Handling,15
Architecture & Construction,Welder,Maintenance Skills,10
Architecture & Construction,Painter,Painting Techniques,30
Architecture & Construction,Painter,Surface Preparation,25
Architecture & Construction,Painter,Color Mixing,20
Architecture & Construction,Painter,Attention to Detail,15
Architecture & Construction,Painter,Safety Practices,10
Architecture & Construction,Roofer,Roofing Techniques,30
Architecture & Construction,Roofer,Safety Practices,25
Architecture & Construction,Roofer,Material Handling,20
Architecture & Construction,Roofer,Measurement,15
Architecture & Construction,Roofer,Teamwork,10
Architecture & Construction,Construction Equipment Operator,Equipment Operation,30
Architecture & Construction,Construction Equipment Operator,Safety Practices,25
Architecture & Construction,Construction Equipment Operator,Maintenance Skills,20
Architecture & Construction,Construction Equipment Operator,Material Handling,15
Architecture & Construction,Construction Equipment Operator,Communication,10
Architecture & Construction,Building Maintenance Technician,Maintenance Skills,30
Architecture & Construction,Building Maintenance Technician,Troubleshooting,25
Architecture & Construction,Building Maintenance Technician,Safety Practices,20
Architecture & Construction,Building Maintenance Technician,Technical Skills,15
Architecture & Construction,Building Maintenance Technician,Record Keeping,10
"Arts, A/V Technology & Communications",Graphic Designer,Creativity,35
"Arts, A/V Technology & Communications",Graphic Designer,Digital Illustration,25
"Arts, A/V Technology & Communications",Graphic Designer,Design Software,20
"Arts, A/V Technology & Communications",Graphic Designer,Attention to Detail,10
"Arts, A/V Technology & Communications",Graphic Designer,Communication,10
"Arts, A/V Technology & Communications",Animator,Animation Skills,30
"Arts, A/V Technology & Communications",Animator,Creativity,25
"Arts, A/V Technology & Communications",Animator,Storytelling,20
"Arts, A/V Technology & Communications",Animator,Design Software,15
"Arts, A/V Technology & Communications",Animator,Collaboration,10
"Arts, A/V Technology & Communications",Audio Engineer,Sound Engineering,30
"Arts, A/V Technology & Communications",Audio Engineer,Technical Skills,25
"Arts, A/V Technology & Communications",Audio Engineer,Equipment Handling,20
"Arts, A/V Technology & Communications",Audio Engineer,Attention to Detail,15
"Arts, A/V Technology & Communications",Audio Engineer,Communication,10
"Arts, A/V Technology & Communications",Video Editor,Video Editing,30
"Arts, A/V Technology & Communications",Video Editor,Storytelling,25
"Arts, A/V Technology & Communications",Video Editor,Design Software,20
"Arts, A/V Technology & Communications",Video Editor,Attention to Detail,15
"Arts, A/V Technology & Communications",Video Editor,Communication,10
"Arts, A/V Technology & Communications",Photographer,Photography,35
"Arts, A/V Technology & Communications",Photographer,Creativity,25
"Arts, A/V Technology & Communications",Photographer,Editing Skills,20
"Arts, A/V Technology & Communications",Photographer,Equipment Handling,10
"Arts, A/V Technology & Communications",Photographer,Communication,10
"Arts, A/V Technology & Communications",Broadcast Technician,Technical Skills,30
"Arts, A/V Technology & Communications",Broadcast Technician,Equipment Handling,25
"Arts, A/V Technology & Communications",Broadcast Technician,Troubleshooting,20
"Arts, A/V Technology & Communications",Broadcast Technician,Communication,15
"Arts, A/V Technology & Communications",Broadcast Technician,Scheduling,10
"Arts, A/V Technology & Communications",Art Director,Creative Direction,35
"Arts, A/V Technology & Communications",Art Director,Leadership,25
"Arts, A/V Technology & Communications",Art Director,Communication,15
"Arts, A/V Technology & Communications",Art Director,Project Management,15
"Arts, A/V Technology & Communications",Art Director,Design Software,10
"Arts, A/V Technology & Communications",Set Designer,Set Design,35
"Arts, A/V Technology & Communications",Set Designer,Creativity,20
"Arts, A/V Technology & Communications",Set Designer,Project Management,20
"Arts, A/V Technology & Communications",Set Designer,Collaboration,15
"Arts, A/V Technology & Communications",Set Designer,Technical Drawing,10
"Arts, A/V Technology & Communications",Actor,Acting,40
"Arts, A/V Technology & Communications",Actor,Creativity,25
"Arts, A/V Technology & Communications",Actor,Memorization,15
"Arts, A/V Technology & Communications",Actor,Communication,10
"Arts, A/V Technology & Communications",Actor,Collaboration,10
"Arts, A/V Technology & Communications",Musician,Musical Talent,35
"Arts, A/V Technology & Communications",Musician,Creativity,25
"Arts, A/V Technology & Communications",Musician,Performance,20
"Arts, A/V Technology & Communications",Musician,Collaboration,10
"Arts, A/V Technology & Communications",Musician,Practice Discipline,10
"Arts, A/V Technology & Communications",Dancer,Dance Technique,35
"Arts, A/V Technology & Communications",Dancer,Performance,25
"Arts, A/V Technology & Communications",Dancer,Creativity,20
"Arts, A/V Technology & Communications",Dancer,Physical Stamina,10
"Arts, A/V Technology & Communications",Dancer,Teamwork,10
"Arts, A/V Technology & Communications",Journalist,Reporting,30
"Arts, A/V Technology & Communications",Journalist,Writing,25
"Arts, A/V Technology & Communications",Journalist,Research,20
"Arts, A/V Technology & Communications",Journalist,Interviewing,15
"Arts, A/V Technology & Communications",Journalist,Communication,10
"Arts, A/V Technology & Communications",Editor (Print/Digital),Editing,35
"Arts, A/V Technology & Communications",Editor (Print/Digital),Writing,25
"Arts, A/V Technology & Communications",Editor (Print/Digital),Research,20
"Arts, A/V Technology & Communications",Editor (Print/Digital),Attention to Detail,10
"Arts, A/V Technology & Communications",Editor (Print/Digital),Communication,10
"Arts, A/V Technology & Communications",Producer (Media),Project Management,30
"Arts, A/V Technology & Communications",Producer (Media),Creative Direction,25
"Arts, A/V Technology & Communications",Producer (Media),Budgeting,20
"Arts, A/V Technology & Communications",Producer (Media),Scheduling,15
"Arts, A/V Technology & Communications",Producer (Media),Communication,10
"Arts, A/V Technology & Communications",Public Relations Specialist,Communication,35
"Arts, A/V Technology & Communications",Public Relations Specialist,Media Relations,25
"Arts, A/V Technology & Communications",Public Relations Specialist,Writing,20
"Arts, A/V Technology & Communications",Public Relations Specialist,Event Planning,10
"Arts, A/V Technology & Communications",Public Relations Specialist,Research,10
"Arts, A/V Technology & Communications",Technical Writer,Technical Writing,35
"Arts, A/V Technology & Communications",Technical Writer,Research,25
"Arts, A/V Technology & Communications",Technical Writer,Editing,20
"Arts, A/V Technology & Communications",Technical Writer,Documentation,10
"Arts, A/V Technology & Communications",Technical Writer,Communication,10
"Arts, A/V Technology & Communications",Web Designer,Web Design,35
"Arts, A/V Technology & Communications",Web Designer,Design Software,25
"Arts, A/V Technology & Communications",Web Designer,User Experience,20
"Arts, A/V Technology & Communications",Web Designer,Coding Basics,10
"Arts, A/V Technology & Communications",Web Designer,Communication,10
"Arts, A/V Technology & Communications",Content Creator,Content Creation,35
"Arts, A/V Technology & Communications",Content Creator,Storytelling,25
"Arts, A/V Technology & Communications",Content Creator,Digital Marketing,20
"Arts, A/V Technology & Communications",Content Creator,Editing,10
"Arts, A/V Technology & Communications",Content Creator,Communication,10
"Arts, A/V Technology & Communications",Event Manager,Event Planning,30
"Arts, A/V Technology & Communications",Event Manager,Project Management,25
"Arts, A/V Technology & Communications",Event Manager,Budgeting,20
"Arts, A/V Technology & Communications",Event Manager,Communication,15
"Arts, A/V Technology & Communications",Event Manager,Marketing,10
"Arts, A/V Technology & Communications",Social Media Manager,Social Media Strategy,35
"Arts, A/V Technology & Communications",Social Media Manager,Content Creation,25
"Arts, A/V Technology & Communications",Social Media Manager,Communication,20
"Arts, A/V Technology & Communications",Social Media Manager,Analytics,10
"Arts, A/V Technology & Communications",Social Media Manager,Branding,10
"Arts, A/V Technology & Communications",Film Director,Direction,35
"Arts, A/V Technology & Communications",Film Director,Creative Vision,25
"Arts, A/V Technology & Communications",Film Director,Leadership,20
"Arts, A/V Technology & Communications",Film Director,Communication,10
"Arts, A/V Technology & Communications",Film Director,Project Management,10
"Arts, A/V Technology & Communications",Cinematographer,Cinematography,35
"Arts, A/V Technology & Communications",Cinematographer,Technical Skills,25
"Arts, A/V Technology & Communications",Cinematographer,Creativity,20
"Arts, A/V Technology & Communications",Cinematographer,Equipment Handling,10
"Arts, A/V Technology & Communications",Cinematographer,Collaboration,10
"Arts, A/V Technology & Communications",Sound Designer,Sound Design,35
"Arts, A/V Technology & Communications",Sound Designer,Creativity,25
"Arts, A/V Technology & Communications",Sound Designer,Technical Skills,20
"Arts, A/V Technology & Communications",Sound Designer,Equipment Handling,10
"Arts, A/V Technology & Communications",Sound Designer,Collaboration,10
"Arts, A/V Technology & Communications",Lighting Technician,Lighting Techniques,30
"Arts, A/V Technology & Communications",Lighting Technician,Equipment Handling,25
"Arts, A/V Technology & Communications",Lighting Technician,Technical Skills,20
"Arts, A/V Technology & Communications",Lighting Technician,Safety Awareness,15
"Arts, A/V Technology & Communications",Lighting Technician,Teamwork,10
"Arts, A/V Technology & Communications",Choreographer,Choreography,35
"Arts, A/V Technology & Communications",Choreographer,Creativity,25
"Arts, A/V Technology & Communications",Choreographer,Leadership,20
"Arts, A/V Technology & Communications",Choreographer,Performance,10
"Arts, A/V Technology & Communications",Choreographer,Communication,10
"Arts, A/V Technology & Communications",Makeup Artist,Makeup Application,35
"Arts, A/V Technology & Communications",Makeup Artist,Creativity,25
"Arts, A/V Technology & Communications",Makeup Artist,Color Theory,20
"Arts, A/V Technology & Communications",Makeup Artist,Attention to Detail,10
"Arts, A/V Technology & Communications",Makeup Artist,Communication,10
"Arts, A/V Technology & Communications",Costume Designer,Costume Design,35
"Arts, A/V Technology & Communications",Costume Designer,Creativity,25
"Arts, A/V Technology & Communications",Costume Designer,Fabric Knowledge,20
"Arts, A/V Technology & Communications",Costume Designer,Trend Analysis,10
"Arts, A/V Technology & Communications",Costume Designer,Collaboration,10
"Arts, A/V Technology & Communications",Voice-over Artist,Voice Modulation,40
"Arts, A/V Technology & Communications",Voice-over Artist,Acting,25
"Arts, A/V Technology & Communications",Voice-over Artist,Language Skills,15
"Arts, A/V Technology & Communications",Voice-over Artist,Creativity,10
"Arts, A/V Technology & Communications",Voice-over Artist,Communication,10
"Arts, A/V Technology & Communications",Art Teacher,Art Instruction,35
"Arts, A/V Technology & Communications",Art Teacher,Creativity,25
"Arts, A/V Technology & Communications",Art Teacher,Communication,20
"Arts, A/V Technology & Communications",Art Teacher,Classroom Management,10
"Arts, A/V Technology & Communications",Art Teacher,Assessment Skills,10
"Arts, A/V Technology & Communications",Gallery Curator,Curation,35
"Arts, A/V Technology & Communications",Gallery Curator,Art Knowledge,25
"Arts, A/V Technology & Communications",Gallery Curator,Organization,20
"Arts, A/V Technology & Communications",Gallery Curator,Communication,10
"Arts, A/V Technology & Communications",Gallery Curator,Research,10
"Business, Management & Administration",Business Analyst,Data Analysis,35
"Business, Management & Administration",Business Analyst,Problem Solving,25
"Business, Management & Administration",Business Analyst,Communication,20
"Business, Management & Administration",Business Analyst,Documentation,10
"Business, Management & Administration",Business Analyst,Project Management,10
"Business, Management & Administration",Management Consultant,Problem Solving,30
"Business, Management & Administration",Management Consultant,Analytical Thinking,25
"Business, Management & Administration",Management Consultant,Communication,20
"Business, Management & Administration",Management Consultant,Research Skills,15
"Business, Management & Administration",Management Consultant,Project Management,10
"Business, Management & Administration",Operations Manager,Operations Management,35
"Business, Management & Administration",Operations Manager,Decision Making,25
"Business, Management & Administration",Operations Manager,Leadership,20
"Business, Management & Administration",Operations Manager,Resource Allocation,10
"Business, Management & Administration",Operations Manager,Communication,10
"Business, Management & Administration",Administrative Assistant,Organization,30
"Business, Management & Administration",Administrative Assistant,Communication,25
"Business, Management & Administration",Administrative Assistant,Scheduling,20
"Business, Management & Administration",Administrative Assistant,Record Keeping,15
"Business, Management & Administration",Administrative Assistant,Attention to Detail,10
"Business, Management & Administration",Office Manager,Office Management,35
"Business, Management & Administration",Office Manager,Leadership,25
"Business, Management & Administration",Office Manager,Organization,20
"Business, Management & Administration",Office Manager,Communication,10
"Business, Management & Administration",Office Manager,Scheduling,10
"Business, Management & Administration",Human Resources Specialist,HR Knowledge,35
"Business, Management & Administration",Human Resources Specialist,Communication,25
"Business, Management & Administration",Human Resources Specialist,Conflict Resolution,20
"Business, Management & Administration",Human Resources Specialist,Record Keeping,10
"Business, Management & Administration",Human Resources Specialist,Interviewing Skills,10
"Business, Management & Administration",Recruiter,Recruitment,35
"Business, Management & Administration",Recruiter,Communication,25
"Business, Management & Administration",Recruiter,Interviewing Skills,20
"Business, Management & Administration",Recruiter,Relationship Building,10
"Business, Management & Administration",Recruiter,Organization,10
"Business, Management & Administration",Training & Development Manager,Training Design,35
"Business, Management & Administration",Training & Development Manager,Communication,25
"Business, Management & Administration",Training & Development Manager,Facilitation,20
"Business, Management & Administration",Training & Development Manager,Evaluation,10
"Business, Management & Administration",Training & Development Manager,Leadership,10
"Business, Management & Administration",Compensation & Benefits Manager,Compensation Planning,35
"Business, Management & Administration",Compensation & Benefits Manager,Data Analysis,25
"Business, Management & Administration",Compensation & Benefits Manager,Communication,20
"Business, Management & Administration",Compensation & Benefits Manager,Compliance,10
"Business, Management & Administration",Compensation & Benefits Manager,Negotiation Skills,10
